civilization,ability
Ottoman,+30%  Production toward Siege units. Siege units gain +5  Combat Strength when attacking defensible districts. Conquering a city doesn't cause that city to lose  Population. +1  Amenity and +4 Loyalty per turn for cities not founded by the Ottomans.
Dutch,"Rivers provide a +2 adjacency bonus for Campus, Theater Square, and Industrial Zone districts. Building a Harbor triggers a Culture Bomb, claiming surrounding tiles. +50%  Production towards the Dam district and Flood Barrier building."
Gallic,"Mines gain +1  Culture, provide a +5 adjacency bonus for all districts and trigger a Culture Bomb when built, claiming surrounding unowned tiles. Specialty districts do not receive an adjacency bonus from other districts and cannot be built next to the City Center."
Macedonian,Conquering a city grants a free  Eureka for each Encampment and Campus district in the conquered city and a free  Inspiration for each Holy Site and Theater Square district.
Zulu,"Capturing a city will upgrade the capturing unit, as long as the necessary civics are unlocked: from a normal unit into a Corps or Fleet, and from a Corps or Fleet into an Army or Armada. Cities with a garrisoned unit gain +3 Loyalty per turn, increasing to +5 Loyalty if the garrisoned unit is a Corps or Army."
Egyptian,"+15%  Production towards districts and wonders built next to a River. Districts, improvements and units are immune to damage from floods."
Norwegian,"Norwegian units gain the ability to enter Ocean tiles with Shipbuilding, instead of Cartography, and pay no additional  Movement costs to embark or disembark. Naval melee units can heal in neutral territory."
Australian,"+3  Housing in coastal cities. Building a Pasture triggers a Culture Bomb, claiming surrounding tiles. Campus, Commercial Hub, Holy Site, and Theater Square districts gain +1 to their yields in tiles with Charming Appeal, and +3 in tiles with Breathtaking Appeal."
Aztec,Can spend Builder charges to complete 20% of a district's  Production cost.
Māori,"Starts with Sailing and Shipbuilding unlocked and the ability to enter Ocean tiles. +5  Combat Strength and +2  Movement for embarked units. Unimproved Woods and Rainforests grant +1  Production, increasing to +2  Production with Mercantilism and +3  Production with Conservation. +1  Food from Fishing Boats. Building a Fishing Boat triggers a Culture Bomb, claiming surrounding tiles. Resources cannot be harvested.  Great Writers cannot be earned."
Mayan,"Cities do not receive additional  Housing from being adjacent to fresh water or coast. Cities gain +1  Amenity for each Luxury Resource adjacent to the City Center. Farms grant +1  Housing, +1  Production if adjacent to an Observatory, and +1  Gold."
Phoenician,"Starts with the  Eureka for Writing. Coastal cities founded by Phoenicia and in the same continent as their  Capital always have full Loyalty. Settlers receive +2  Movement and  Sight while embarked, and pay no  Movement costs to embark or disembark."
Japanese,"Districts receive a +1 adjacency bonus for each adjacent district, instead of +5."
Incan,"Citizens may work Mountain tiles. Mountain tiles provide +2  Production, and +1  Food for each adjacent Terrace Farm. Mountain tiles provide an additional +1  Production when Inca reaches the Industrial Era."
Russian,"Founded cities start with five additional tiles. Tundra tiles provide +1  Faith and +1  Production, in addition to their usual yields. Units are immune to damage from Blizzards. +100% damage from Blizzards inside Russian territory to civilizations at war with Russia."
Cree,Gains +1  Trade Route capacity and a free Trader with Pottery. Unclaimed tiles within three tiles of a Cree city come under Cree control when a Trader first moves into them.
Vietnamese,"Land specialty  Districts can only be built on Woods, Rainforest or Marsh tiles. Buildings on these features receive additional yields: +1  Culture in Woods, +1  Science in Rainforest, and +1  Production in Marsh. Can plant Woods with Medieval Faires, instead of Conservation."
Kongolese,"Relics,  Artifacts and  Sculptures grant +2  Food, +2  Production, +1  Faith, and +4  Gold. The Palace has four extra slots for Great Works. +50%  Great Artist,  Great Musician, and  Great Merchant points gained from all sources."
Swedish,Gains 50  Diplomatic Favor whenever a Great Person is earned. +1  Great Engineer points from Factories and +1  Great Scientist points from Universities. Sweden's presence in the game adds three unique World Congress competitions in the Industrial Era.
Mongolian,"Sending a  Trade Route immediately creates a  Trading Post in the destination city, instead of when the  Trade Route is completed. Gains an extra level of  Diplomatic Visibility with civilizations that have a Mongolian  Trading Post. +6  Combat Strength for all units for each level of  Diplomatic Visibility Mongolia has over the other civilization, instead of the usual +3  Combat Strength."
Hungarian,+50%  Production for districts and buildings built across a river from a City Center.
Scythian,Building a light cavalry unit or Saka Horse Archer grants a free second copy of that unit.
Greek,Gains an additional  Wildcard policy slot in all Governments.
Persian,Gains +1  Trade Route capacity with Political Philosophy. Domestic  Trade Routes provide +2  Gold and +1  Culture. Roads built inside Persian territory are one level more advanced than usual.
Scottish,"Happy cities gain +5%  Science and +5%  Production, and generate +1  Great Scientist point in their Campuses and +1  Great Engineer point in their Industrial Zones. Ecstatic cities double these bonuses."
Malian,City Centers receive +1  Faith and +1  Food for every adjacent Desert and Desert Hills tile. Mines receive -1  Production and +4  Gold. May purchase Commercial Hub buildings with  Faith. -30%  Production towards buildings and units.
Georgian,"Dedications chosen at the beginning of a Golden Age or Heroic Age also grant their Normal Age bonuses towards improving Era Score, in addition to their regular bonuses. +50%  Production towards walls."
Nubian,"+30%  Production toward Ranged units. Ranged units gain +50% combat experience. +1  Production for Mines over strategic resources, and +2  Gold for Mines over bonus and luxury resources."
Byzantine,+3  Combat and  Religious Strength for all units for each Holy City converted to Byzantium's Religion (including Byzantium's own Holy City). Byzantium's Religion is spread to nearby cities when a unit from an enemy civilization or city-state is defeated. +1  Great Prophet point from Holy Sites.
Arabian,Automatically receives the final  Great Prophet when the next-to-last one is claimed (unless one has already been earned through other means). +1  Science per foreign city following Arabia's Religion.
Korean,Farms receive +1  Food and Mines receive +1  Science for each adjacent Seowon.
Mapuche,"Cities with an established Governor gain +5%  Culture, +5%  Production, and +10% combat experience towards all units trained in the city. These numbers are tripled in cities not founded by the Mapuche. All cities within 9 tiles of a city with your Governor gain +4 Loyalty per turn towards your civilization."
Spanish,"May form Fleets and Armadas with Mercantilism, instead of Nationalism and Mobilization.  Trade Routes receive 3  Gold, 2  Faith and 1  Production. Trade Routes between cities on different continents gain triple these yields. Cities not on your original  Capital's continent receive 25% extra  Production towards  Districts and a Builder when founded."
